Place_Id,Place_Name,Category,City,Rating,Lat,Long
93,Gembira Loka Zoo,Cagar Alam,Yogyakarta,4.5,-7.8062344,110.3967977
94,Sumur Gumuling,Taman Hiburan,Yogyakarta,4.5,-7.8087911,110.3591825
95,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,Yogyakarta,5.0,-7.8229089,110.3756894
96,Alun Alun Selatan Yogyakarta,Taman Hiburan,Yogyakarta,4.6,-7.8116719,110.363238
97,Monumen Yogya Kembali,Budaya,Yogyakarta,4.5,-7.7495904,110.3696068
98,Taman Pelangi Yogyakarta,Taman Hiburan,Yogyakarta,4.3,-7.7505259,110.3687049
99,Kampung Wisata Kadipaten,Budaya,Yogyakarta,4.4,-7.806093,110.35831
100,Taman Budaya Yogyakarta,Budaya,Yogyakarta,4.5,-7.8001041,110.3676579
101,Kampung Wisata Sosro Menduran,Budaya,Yogyakarta,4.0,-7.79219,110.362151
102,Monumen Batik Yogyakarta,Budaya,Yogyakarta,4.5,-7.8011159,110.3646172
103,Tugu Pal Putih Jogja,Taman Hiburan,Yogyakarta,4.7,-7.7829437,110.3670548
104,Tebing Breksi,Budaya,Yogyakarta,4.4,-7.7815714,110.5045827
105,Candi Donotirto,Budaya,Yogyakarta,4.4,-7.7955613,110.3612095
106,Kawasan Malioboro,Taman Hiburan,Yogyakarta,4.8,-7.793167,110.3655238
107,Bangsal Pagelaran,Budaya,Yogyakarta,4.6,-7.8052843,110.3642137
108,Embung Tambakboyo,Taman Hiburan,Yogyakarta,4.4,-7.756227,110.4150131
109,Hutan Pinus Pengger,Taman Hiburan,Yogyakarta,4.5,-7.8704832,110.4599108
110,Monumen Serangan Umum 1 Maret,Taman Hiburan,Yogyakarta,4.6,-7.8010124,110.3653376
111,Puncak Pinus Becici,Taman Hiburan,Yogyakarta,4.5,-7.9020355,110.4374627
112,Bukit Bintang Yogyakarta,Taman Hiburan,Yogyakarta,4.5,-7.8458407,110.4798457
113,Gedung Agung Yogyakarta,Budaya,Yogyakarta,4.6,-7.8001506,110.3637507
114,The Lost World Castle,Taman Hiburan,Yogyakarta,4.3,-7.6041648,110.4510042
115,Monumen Sanapati,Budaya,Yogyakarta,4.3,-7.7881728,110.3715403
116,Jurang Tembelan Kanigoro,Taman Hiburan,Yogyakarta,4.5,-7.9401065,110.4300062
117,The World Landmarks - Merapi Park Yogyakarta,Taman Hiburan,Yogyakarta,4.2,-7.6209046,110.4216275
118,Museum Sonobudoyo Unit I,Budaya,Yogyakarta,4.6,-7.8024499,110.3639555
119,Lava Bantal,Budaya,Yogyakarta,4.4,-7.8081518,110.4595183
120,Bukit Panguk Kediwung,Budaya,Yogyakarta,4.5,-7.9583695,110.4407622
121,Candi Prambanan,Budaya,Yogyakarta,4.7,-7.7520206,110.4914674
122,Watu Goyang,Budaya,Yogyakarta,4.4,-7.9274086,110.4120586
123,Kampung Wisata Rejowinangun,Budaya,Yogyakarta,4.3,-7.8152776,110.3988359
124,Kauman Pakualaman Yogyakarta,Budaya,Yogyakarta,5.0,-7.8010347,110.3751922
125,Alun-alun Utara Keraton Yogyakarta,Budaya,Yogyakarta,4.6,-7.8038975,110.3644232
126,Pantai Goa Cemara,Bahari,Yogyakarta,4.3,-7.999423,110.248963
127,Blue Lagoon Jogja,Taman Hiburan,Yogyakarta,4.3,-7.7044358,110.45026
128,Gumuk Pasir Parangkusumo,Taman Hiburan,Yogyakarta,4.5,-8.0173266,110.3180791
129,Bukit Lintang Sewu,Taman Hiburan,Yogyakarta,4.5,-7.9157997,110.4366436
130,Studio Alam Gamplong,Taman Hiburan,Yogyakarta,4.4,-7.8057936,110.2367304
131,Watu Lumbung,Cagar Alam,Yogyakarta,4.3,-7.9924379,110.317778
132,Air Terjun Kedung Pedut,Cagar Alam,Yogyakarta,4.5,-7.7699875,110.1210707
133,Puncak Kebun Buah Mangunan,Taman Hiburan,Yogyakarta,4.6,-7.9413718,110.4247345
134,Desa Wisata Gamplong,Taman Hiburan,Yogyakarta,4.4,-7.8055232,110.2374676
135,Kawasan Wisata Sosrowijayan,Pusat Perbelanjaan,Yogyakarta,4.0,-7.7916235,110.361956
136,Grojogan Watu Purbo Bangunrejo,Taman Hiburan,Yogyakarta,4.5,-7.6340172,110.33837
137,Wisata Alam Kalibiru,Cagar Alam,Yogyakarta,4.4,-7.8057305,110.127969
138,Jogja Exotarium,Taman Hiburan,Yogyakarta,4.4,-7.7280356,110.3591712
139,Puncak Gunung Api Purba - Nglanggeran,Cagar Alam,Yogyakarta,4.7,-7.841253,110.543056
140,Bendung Lepen,Taman Hiburan,Yogyakarta,4.6,-7.8316668,110.3945119
141,Bunker Kaliadem Merapi,Cagar Alam,Yogyakarta,4.5,-7.5829198,110.4476816
142,Ledok Sambi,Cagar Alam,Yogyakarta,4.6,-7.6470943,110.4280998
143,Seribu Batu Songgo Langit,Cagar Alam,Yogyakarta,4.6,-7.9310984,110.430919
144,Goa Jomblang,Cagar Alam,Yogyakarta,4.6,-8.0281562,110.6383307
145,Desa Wisata Rumah Domes/Teletubbies,Taman Hiburan,Yogyakarta,4.1,-7.8136085,110.5033442
146,Bukit Wisata Pulepayung,Cagar Alam,Yogyakarta,4.5,-7.8001106,110.1238954
147,Bentara Budaya Yogyakarta (BBY),Budaya,Yogyakarta,4.5,-7.7857242,110.3746954
148,Goa Rancang Kencono,Cagar Alam,Yogyakarta,4.3,-7.9492612,110.4926511
149,Goa Cerme,Cagar Alam,Yogyakarta,4.4,-7.9794413,110.3803114
150,Wisata Kraton Jogja,Budaya,Yogyakarta,4.7,-7.8067535,110.3636659
151,Desa Wisata Kelor,Taman Hiburan,Yogyakarta,4.4,-7.6410258,110.3622794
152,Pantai Patihan,Bahari,Yogyakarta,4.1,-7.997778,110.2449113
153,Pantai Kukup,Bahari,Yogyakarta,4.0,-8.1338763,110.5548349
154,Pantai Ngrawe (Mesra),Bahari,Yogyakarta,4.5,-8.1333389,110.5537405
155,Pantai Ngobaran,Bahari,Yogyakarta,4.6,-8.1184844,110.5028785
156,Pantai Pulang Sawal,Bahari,Yogyakarta,4.5,-8.1506589,110.6126311
157,Pantai Baron,Bahari,Yogyakarta,4.4,-8.1288246,110.5487763
158,Pantai Pok Tunggal,Bahari,Yogyakarta,4.5,-8.1554468,110.6217582
159,Hutan Pinus Asri,Cagar Alam,Yogyakarta,4.5,-7.9209209,110.4355651
160,Pasar Kebon Empring Bintaran,Pusat Perbelanjaan,Yogyakarta,4.4,-7.8363205,110.4575806
161,"Bukit Paralayang, Watugupit",Cagar Alam,Yogyakarta,4.7,-8.0268551,110.3459122
162,Kampung Wisata Dipowinatan,Budaya,Yogyakarta,4.5,-7.8105529,110.3704987
163,Watu Mabur Mangunan,Cagar Alam,Yogyakarta,4.5,-7.947121,110.441
164,Pintoe Langit Dahromo,Cagar Alam,Yogyakarta,4.4,-7.913608,110.437783
165,Green Village Gedangsari,Taman Hiburan,Yogyakarta,4.2,-7.813094,110.615571
166,Kebun Teh Nglinggo,Cagar Alam,Yogyakarta,4.5,-7.647054,110.1414699
167,Geoforest Watu Payung Turunan,Cagar Alam,Yogyakarta,4.5,-7.974294,110.4364363
168,Pantai Timang,Bahari,Yogyakarta,4.7,-8.1759266,110.6624196
169,Puncak Segoro,Cagar Alam,Yogyakarta,4.2,-8.1026167,110.4562084
170,Candi Borobudur,Budaya,Yogyakarta,4.7,-7.6078738,110.2037513
